iter	Logloss
0	0.6838963367
1	0.6748082037
2	0.6658530246
3	0.6622029454
4	0.6550695489
5	0.6478129414
6	0.6402239725
7	0.6331533201
8	0.6260464435
9	0.6196112423
10	0.6137767682
11	0.6079703634
12	0.6017823637
13	0.5961203455
14	0.5904966581
15	0.5850239459
16	0.5802199865
17	0.5750756285
18	0.5698593944
19	0.5659287811
20	0.5610467582
21	0.5566048948
22	0.5524969832
23	0.5485554172
24	0.5443821785
25	0.5411654046
26	0.5383072875
27	0.5345728748
28	0.5317622728
29	0.5284950118
30	0.5257035421
31	0.5226141049
32	0.5197037414
33	0.516692193
34	0.5138266846
35	0.5112322529
36	0.5087127602
37	0.5066032386
38	0.5044789478
39	0.5021850203
40	0.4998308647
41	0.4975881685
42	0.4953725735
43	0.4937539316
44	0.4922570965
45	0.4910501956
46	0.4891389137
47	0.4873574422
48	0.4855218129
49	0.4837918689
50	0.4823598289
51	0.4807132824
52	0.47910297
53	0.4779034747
54	0.4765050092
55	0.4753884415
56	0.4737246368
57	0.47224329
58	0.4707875275
59	0.4695730988
60	0.4685931623
61	0.467464872
62	0.466371813
63	0.4651029908
64	0.4639793098
65	0.4636380402
66	0.4625568707
67	0.4614598583
68	0.4604172648
69	0.4596935209
70	0.4586671599
71	0.4576296361
72	0.4567352351
73	0.4558765332
74	0.4550278983
75	0.4541376379
76	0.4532858576
77	0.4523392087
78	0.4514888279
79	0.4508655952
80	0.4501442509
81	0.4495290172
82	0.4487431729
83	0.4480328943
84	0.4474646164
85	0.4466792603
