iter	Passed	Remaining
0	20	22018
1	45	24607
2	69	25334
3	82	22588
4	96	20944
5	117	21222
6	138	21549
7	161	21881
8	181	21911
9	204	22152
10	224	22044
11	241	21781
12	265	22053
13	283	21813
14	301	21699
15	321	21641
16	343	21740
17	370	22145
18	390	22096
19	404	21701
20	422	21564
21	442	21531
22	466	21695
23	485	21611
24	513	21958
25	535	21969
26	556	21969
27	577	21952
28	604	22167
29	625	22159
30	649	22253
31	668	22177
32	689	22143
33	708	22071
34	730	22080
35	752	22092
36	791	22602
37	810	22494
38	829	22428
39	849	22371
40	869	22304
41	888	22244
42	909	22206
43	931	22199
44	953	22215
45	969	22064
46	1005	22376
47	1025	22323
48	1044	22260
49	1063	22177
50	1081	22102
51	1099	22004
52	1118	21951
53	1137	21895
54	1157	21844
55	1185	21944
56	1207	21948
57	1228	21926
58	1249	21904
59	1268	21839
60	1291	21857
61	1312	21828
62	1334	21819
63	1355	21795
64	1377	21785
65	1389	21628
66	1407	21556
67	1429	21546
68	1448	21502
69	1460	21348
70	1478	21276
71	1497	21240
72	1517	21200
73	1538	21191
74	1559	21170
75	1582	21177
76	1607	21211
77	1630	21221
78	1650	21188
79	1663	21059
80	1682	21025
81	1706	21034
82	1725	20991
83	1750	21024
84	1797	21314
85	1841	21563
